Gene Symbol,Name,Entrez GeneId,Genome Location,Tier,Hallmark,Chr Band,Somatic,Germline,Tumour Types(Somatic),Tumour Types(Germline),Cancer Syndrome,Tissue Type,Molecular Genetics,Role in Cancer,Mutation Types,Translocation Partner,Other Germline Mut,Other Syndrome,Synonyms
ALK,anaplastic lymphoma kinase (Ki-1),238,2:29193224-29920659,1,Yes,2p23,yes,yes,"ALCL, NSCLC, neuroblastoma, inflammatory myofibroblastic tumour, Spitzoid tumour",neuroblastoma,familial neuroblastoma,"L, E, M",Dom,"oncogene, fusion","T, Mis, A","NPM1, TPM3, TFG, TPM4, ATIC, CLTC, MSN, RNF213, CARS, EML4, KIF5B, C2orf22, DCTN1, HIP1, TPR, RANBP2, PPFIBP1, SEC31A, STRN, VCL, C2orf44, KLC1",,,"238,ALK,ENSG00000171094,Q9UM73"
AMER1,APC membrane recruitment protein 1,139285,X:64186117-64193286,1,Yes,Xq11.2,yes,,Wilms tumour,,,O,Rec,TSG,"F, D, N, Mis",,,,"139285,AMER1,ENSG00000184675,FAM123B,Q5JTC6"
APC,adenomatous polyposis of the colon gene,324,5:112754891-112844126,1,Yes,5q21,yes,yes,"colorectal, pancreatic, desmoid, hepatoblastoma, glioma, other CNS","colorectal, pancreatic, desmoid, hepatoblastoma, glioma, other CNS",adenomatous polyposis coli; Turcot syndrome,"E, M, O",Rec,TSG,"D, Mis, N, F, S",,,,"324,APC,ENSG00000134982,P25054"
APOBEC3B,apolipoprotein B mRNA editing enzyme catalytic subunit 3B,9582,22:38982454-38992445,1,Yes,22q13.1,,yes,ALL,breast cancer,,E,Rec,"oncogene, TSG",D,,,,"9582,APOBEC3B,ENSG00000179750,Q9UH17"
AR,Androgen Receptor,367,X:67545147-67723841,1,Yes,Xq12,yes,yes,prostate,,,E,Dom,oncogene,Mis,,yes,"Androgen insensitivity, Hypospadias 1, X-linked, Spinal and bulbar muscular atrophy of Kennedy","367,AR,DHTR,ENSG00000169083,SBMA"
ARHGAP26,Rho GTPase activating protein 26,23092,5:142770762-143222446,1,,5q31,yes,,"AML, MDS",,,L,Dom,"TSG, fusion","T, F, S",KMT2A,,,"23092,ARHGAP26,ENSG00000145819,Q9UNA1"
ARHGEF12,RHO guanine nucleotide exchange factor (GEF) 12 (LARG),23365,11:120337244-120485077,1,,11q23.3,yes,,AML,,,L,Dom,"TSG, fusion",T,KMT2A,,,"23365,ARHGEF12,ENSG00000196914,Q9NZN5"
ARID1A,AT rich interactive domain 1A (SWI-like),8289,1:26696404-26780756,1,Yes,1p35.3,yes,,"clear cell ovarian carcinoma, RCC, breast",,,E,Rec,"TSG, fusion","Mis, N, F, S, D, T",MAST2,,,"8289,ARID1A,C1orf4,ENSG00000117713,O14497,SMARCF1"
ARID1B,AT rich interactive domain 1B,57492,6:156778104-157207891,1,,6q25.1,yes,,"breast, hepatocellular carcinoma",,,E,Rec,TSG,"Mis, F, N, O",,,,"57492,ARID1B,ENSG00000049618"
ARID2,AT rich interactive domain 2,196528,12:45729837-45905078,1,Yes,12q12,yes,,hepatocellular carcinoma,,,E,Rec,TSG,"N, S, F",,,,"196528,ARID2,ENSG00000189079,Q68CP9"
ARNT,aryl hydrocarbon receptor nuclear translocator,405,1:150812021-150876567,1,Yes,1q21,yes,,AML,,,L,Dom,"oncogene, TSG, fusion",T,ETV6,,,"405,ARNT,ENSG00000143437,P27540"
ASPSCR1,"alveolar soft part sarcoma chromosome region, candidate 1",79058,17:81977648-82017323,1,Yes,17q25,yes,,alveolar soft part sarcoma,,,M,Dom,fusion,T,TFE3,,,"79058,ASPSCR1,ENSG00000169696,Q9BZE9"
